persona,group,coef,p_raw,p_bh,significant_bh,p_bonferroni,significant_bonferroni
trend_following,extrapolative,0.8909446102565584,0.05966031375158908,0.07457539218948635,False,0.2983015687579454,False
mean_reverting,corrective,1.6266002075876362,0.0006612577605309804,0.003306288802654902,True,0.003306288802654902,True
fundamentals_anchored,corrective,0.9946348579242914,0.014438049535438716,0.02406341589239786,True,0.07219024767719358,False
momentum_sensitive,extrapolative,0.6289013426117328,0.19138846467781634,0.19138846467781634,False,0.9569423233890817,False
neutral,neutral,1.1077962532616206,0.010466280216505712,0.02406341589239786,True,0.05233140108252856,False
